"","county","Tract","FIPS","County","Bay Area"
"1","001",177417,"06001400100",79831,87000
"2","001",153125,"06001400200",79831,87000
"3","001",85313,"06001400300",79831,87000
"4","001",99539,"06001400400",79831,87000
"5","001",83650,"06001400500",79831,87000
"6","001",61597,"06001400600",79831,87000
"7","001",46424,"06001400700",79831,87000
"8","001",61111,"06001400800",79831,87000
"9","001",55691,"06001400900",79831,87000
"10","001",51073,"06001401000",79831,87000
"11","001",71205,"06001401100",79831,87000
"12","001",83208,"06001401200",79831,87000
"13","001",37123,"06001401300",79831,87000
"14","001",25985,"06001401400",79831,87000
"15","001",48903,"06001401500",79831,87000
"16","001",36544,"06001401600",79831,87000
"17","001",66308,"06001401700",79831,87000
"18","001",28185,"06001401800",79831,87000
"19","001",45400,"06001402200",79831,87000
"20","001",33724,"06001402400",79831,87000
"21","001",23693,"06001402500",79831,87000
"22","001",22955,"06001402600",79831,87000
"23","001",44792,"06001402700",79831,87000
"24","001",17363,"06001402800",79831,87000
"25","001",28854,"06001402900",79831,87000
"26","001",19490,"06001403000",79831,87000
"27","001",51184,"06001403100",79831,87000
"28","001",52246,"06001403300",79831,87000
"29","001",51172,"06001403400",79831,87000
"30","001",37032,"06001403501",79831,87000
"31","001",67672,"06001403502",79831,87000
"32","001",70600,"06001403600",79831,87000
"33","001",66086,"06001403701",79831,87000
"34","001",78266,"06001403702",79831,87000
"35","001",85313,"06001403800",79831,87000
"36","001",73125,"06001403900",79831,87000
"37","001",77065,"06001404000",79831,87000
"38","001",86635,"06001404101",79831,87000
"39","001",77303,"06001404102",79831,87000
"40","001",169519,"06001404200",79831,87000
"41","001",193523,"06001404300",79831,87000
"42","001",150074,"06001404400",79831,87000
"43","001",181484,"06001404501",79831,87000
"44","001",133068,"06001404502",79831,87000
"45","001",163322,"06001404600",79831,87000
"46","001",159107,"06001404700",79831,87000
"47","001",61875,"06001404800",79831,87000
"48","001",84375,"06001404900",79831,87000
"49","001",122237,"06001405000",79831,87000
"50","001",182153,"06001405100",79831,87000
"51","001",75417,"06001405200",79831,87000
"52","001",60928,"06001405301",79831,87000
"53","001",35638,"06001405302",79831,87000
"54","001",39712,"06001405401",79831,87000
"55","001",33555,"06001405402",79831,87000
"56","001",50225,"06001405500",79831,87000
"57","001",53063,"06001405600",79831,87000
"58","001",48851,"06001405700",79831,87000
"59","001",44375,"06001405800",79831,87000
"60","001",31607,"06001405901",79831,87000
"61","001",32833,"06001405902",79831,87000
"62","001",30909,"06001406000",79831,87000
"63","001",44485,"06001406100",79831,87000
"64","001",37336,"06001406201",79831,87000
"65","001",33583,"06001406202",79831,87000
"66","001",43307,"06001406300",79831,87000
"67","001",59500,"06001406400",79831,87000
"68","001",41346,"06001406500",79831,87000
"69","001",48467,"06001406601",79831,87000
"70","001",53162,"06001406602",79831,87000
"71","001",73167,"06001406700",79831,87000
"72","001",94167,"06001406800",79831,87000
"73","001",65556,"06001406900",79831,87000
"74","001",43125,"06001407000",79831,87000
"75","001",51691,"06001407101",79831,87000
"76","001",47660,"06001407102",79831,87000
"77","001",37319,"06001407200",79831,87000
"78","001",53214,"06001407300",79831,87000
"79","001",47656,"06001407400",79831,87000
"80","001",24869,"06001407500",79831,87000
"81","001",53300,"06001407600",79831,87000
"82","001",70938,"06001407700",79831,87000
"83","001",80368,"06001407800",79831,87000
"84","001",100927,"06001407900",79831,87000
"85","001",158917,"06001408000",79831,87000
"86","001",103670,"06001408100",79831,87000
"87","001",51135,"06001408200",79831,87000
"88","001",81695,"06001408300",79831,87000
"89","001",30213,"06001408400",79831,87000
"90","001",47841,"06001408500",79831,87000
"91","001",30696,"06001408600",79831,87000
"92","001",43649,"06001408700",79831,87000
"93","001",23598,"06001408800",79831,87000
"94","001",26379,"06001408900",79831,87000
"95","001",44125,"06001409000",79831,87000
"96","001",40000,"06001409100",79831,87000
"97","001",46250,"06001409200",79831,87000
"98","001",34830,"06001409300",79831,87000
"99","001",39189,"06001409400",79831,87000
"100","001",31682,"06001409500",79831,87000
"101","001",37349,"06001409600",79831,87000
"102","001",38357,"06001409700",79831,87000
"103","001",63598,"06001409800",79831,87000
"104","001",97689,"06001409900",79831,87000
"105","001",107083,"06001410000",79831,87000
"106","001",59239,"06001410100",79831,87000
"107","001",49200,"06001410200",79831,87000
"108","001",39524,"06001410300",79831,87000
"109","001",66555,"06001410400",79831,87000
"110","001",22596,"06001410500",79831,87000
"111","001",120208,"06001420100",79831,87000
"112","001",89194,"06001420200",79831,87000
"113","001",86417,"06001420300",79831,87000
"114","001",42054,"06001420400",79831,87000
"115","001",89333,"06001420500",79831,87000
"116","001",116172,"06001420600",79831,87000
"117","001",162308,"06001421100",79831,87000
"118","001",144115,"06001421200",79831,87000
"119","001",138971,"06001421300",79831,87000
"120","001",141375,"06001421400",79831,87000
"121","001",160265,"06001421500",79831,87000
"122","001",118750,"06001421600",79831,87000
"123","001",69986,"06001421700",79831,87000
"124","001",110000,"06001421800",79831,87000
"125","001",100372,"06001421900",79831,87000
"126","001",60500,"06001422000",79831,87000
"127","001",72500,"06001422100",79831,87000
"128","001",66769,"06001422200",79831,87000
"129","001",58606,"06001422300",79831,87000
"130","001",57083,"06001422400",79831,87000
"131","001",54375,"06001422500",79831,87000
"132","001",250001,"06001422600",79831,87000
"133","001",31050,"06001422700",79831,87000
"134","001",13188,"06001422800",79831,87000
"135","001",24056,"06001422900",79831,87000
"136","001",67304,"06001423000",79831,87000
"137","001",60037,"06001423100",79831,87000
"138","001",49375,"06001423200",79831,87000
"139","001",77039,"06001423300",79831,87000
"140","001",76458,"06001423400",79831,87000
"141","001",39780,"06001423500",79831,87000
"142","001",83824,"06001423601",79831,87000
"143","001",27890,"06001423602",79831,87000
"144","001",83347,"06001423700",79831,87000
"145","001",137171,"06001423800",79831,87000
"146","001",70417,"06001423901",79831,87000
"147","001",82000,"06001423902",79831,87000
"148","001",58411,"06001424001",79831,87000
"149","001",58643,"06001424002",79831,87000
"150","001",64019,"06001425101",79831,87000
"151","001",92296,"06001425102",79831,87000
"152","001",90556,"06001425103",79831,87000
"153","001",56750,"06001425104",79831,87000
"154","001",212386,"06001426100",79831,87000
"155","001",168713,"06001426200",79831,87000
"156","001",116581,"06001427100",79831,87000
"157","001",67404,"06001427200",79831,87000
"158","001",78654,"06001427300",79831,87000
"159","001",50099,"06001427600",79831,87000
"160","001",80000,"06001427700",79831,87000
"161","001",98348,"06001427800",79831,87000
"162","001",81117,"06001427900",79831,87000
"163","001",68356,"06001428000",79831,87000
"164","001",84725,"06001428100",79831,87000
"165","001",84205,"06001428200",79831,87000
"166","001",111205,"06001428301",79831,87000
"167","001",130059,"06001428302",79831,87000
"168","001",73125,"06001428400",79831,87000
"169","001",67045,"06001428500",79831,87000
"170","001",79892,"06001428600",79831,87000
"171","001",52688,"06001428700",79831,87000
"172","001",124014,"06001430101",79831,87000
"173","001",117583,"06001430102",79831,87000
"174","001",114737,"06001430200",79831,87000
"175","001",110465,"06001430300",79831,87000
"176","001",118250,"06001430400",79831,87000
"177","001",58618,"06001430500",79831,87000
"178","001",95976,"06001430600",79831,87000
"179","001",98373,"06001430700",79831,87000
"180","001",68190,"06001430800",79831,87000
"181","001",57676,"06001430900",79831,87000
"182","001",63720,"06001431000",79831,87000
"183","001",56250,"06001431100",79831,87000
"184","001",64075,"06001431200",79831,87000
"185","001",95676,"06001432100",79831,87000
"186","001",62307,"06001432200",79831,87000
"187","001",75907,"06001432300",79831,87000
"188","001",59934,"06001432400",79831,87000
"189","001",61339,"06001432501",79831,87000
"190","001",61743,"06001432502",79831,87000
"191","001",56700,"06001432600",79831,87000
"192","001",97750,"06001432700",79831,87000
"193","001",92917,"06001432800",79831,87000
"194","001",66280,"06001433000",79831,87000
"195","001",71535,"06001433102",79831,87000
"196","001",46429,"06001433103",79831,87000
"197","001",44913,"06001433104",79831,87000
"198","001",51058,"06001433200",79831,87000
"199","001",67034,"06001433300",79831,87000
"200","001",78710,"06001433400",79831,87000
"201","001",79327,"06001433500",79831,87000
"202","001",60813,"06001433600",79831,87000
"203","001",68571,"06001433700",79831,87000
"204","001",51867,"06001433800",79831,87000
"205","001",41022,"06001433900",79831,87000
"206","001",41458,"06001434000",79831,87000
"207","001",116319,"06001435102",79831,87000
"208","001",156875,"06001435103",79831,87000
"209","001",52817,"06001435104",79831,87000
"210","001",97957,"06001435200",79831,87000
"211","001",68365,"06001435300",79831,87000
"212","001",51597,"06001435400",79831,87000
"213","001",51026,"06001435500",79831,87000
"214","001",53608,"06001435601",79831,87000
"215","001",56928,"06001435602",79831,87000
"216","001",77762,"06001435700",79831,87000
"217","001",76635,"06001435800",79831,87000
"218","001",91578,"06001435900",79831,87000
"219","001",84861,"06001436000",79831,87000
"220","001",77117,"06001436100",79831,87000
"221","001",45987,"06001436200",79831,87000
"222","001",58564,"06001436300",79831,87000
"223","001",71844,"06001436401",79831,87000
"224","001",122127,"06001436402",79831,87000
"225","001",54315,"06001436500",79831,87000
"226","001",63991,"06001436601",79831,87000
"227","001",41099,"06001436602",79831,87000
"228","001",79152,"06001436700",79831,87000
"229","001",63305,"06001436800",79831,87000
"230","001",58567,"06001436900",79831,87000
"231","001",70988,"06001437000",79831,87000
"232","001",105723,"06001437101",79831,87000
"233","001",68542,"06001437102",79831,87000
"234","001",83799,"06001437200",79831,87000
"235","001",70903,"06001437300",79831,87000
"236","001",75521,"06001437400",79831,87000
"237","001",54943,"06001437500",79831,87000
"238","001",67308,"06001437600",79831,87000
"239","001",50688,"06001437701",79831,87000
"240","001",50759,"06001437702",79831,87000
"241","001",77276,"06001437800",79831,87000
"242","001",69524,"06001437900",79831,87000
